1	-425	2453355.14209	0.002	2	XO
2	-417	2453376.07349	0.002	2	XO
3	-130	2454126.82324	0.002	2	Gary AXA
4	-130	2454126.82324	0.002	2	MF AXA
5	-127	2454134.66992	0.002	2	Gary, AXA
6	-127	2454134.66992	0.002	2	MF, AXA
7	-124	2454142.5166	0.002	2	EM, AXA
8	-122	2454147.75049	0.002	2	Gary, AXA
9	-117	2454160.82812	0.002	2	Gary, AXA
10	-114	2454168.67578	0.002	2	Gary, AXA
11	-114	2454168.67871	0.002	2	MF, AXA
12	-114	2454168.68066	0.002	2	CF, AXA
14	-20	2454414.5689	0.003	3	Gregorio J.
17	-5	2454453.8052	0.0012	2	Gary
20	-2	2454461.6519	0.0029	3	Naves
21	0	2454466.88512	0.00021	1	Fernandez et al 2009
22	5	2454479.96393	0.00039	1	Fernandez et al 2009
23	9	2454490.42533	0.00116	3	Fabjan T., Mihelčič M.
25	9	2454490.4281	0.0013	3	Staels
28	14	2454503.5049	0.0015	3	Staels
31	16	2454508.73864	0.00026	1	Fernandez et al 2009
33	17	2454511.35956	0.00113	3	Fabjan T., Mihelčič M.
34	21	2454521.81778	0.00072	1	Fernandez et al 2009
35	22	2454524.42972	0.00163	3	Marino G.
37	24	2454529.66433	0.00043	1	Fernandez et al 2009
38	25	2454532.27978	0.00074	1	Fernandez et al 2009
42	130	2454806.9475	0.00027	1	Gulbis et al., 2011
43	131	2454809.55959	0.00083	2	Zambelli R.
44	132	2454812.17705	0.00066	2	Cao Ch.
46	146	2454848.8002	0.001	2	Foot
47	146	2454848.8009	0.0006	2	Foot
49	167	2454903.73164	0.00103	3	Tieman B.
53	243	2455102.53866	0.00097	3	Brát L.
54	256	2455136.54411	0.00073	3	Hynek T.
55	261	2455149.6245	0.00027	1	Sing et al. 2010
57	268	2455167.93442	0.0008	3	Garlitz J.
58	269	2455170.5514	0.00023	1	Sing et al. 2010
59	269	2455170.55181	0.00023	1	Sing et al. 2010
61	285	2455212.40527	0.0006	3	Marchini A.
62	303	2455259.48978	0.0003	1	Sing et al. 2010
63	311	2455280.41925	0.00099	3	Corfini G.
64	401	2455515.84343	0.00092	3	Dvorak S.
65	410	2455539.39168	0.00106	3	Sergison D.
66	418	2455560.31029	0.00169	3	Brát L.
67	419	2455562.92922	0.00048	2	Garlitz J.
68	422	2455570.77683	0.00077	3	Dvorak S.
69	425	2455578.61625	0.00041	3	Vanhuysse M.
70	428	2455586.46607	0.00144	3	Ruocco N.
71	428	2455586.46981	0.00084	3	Naves R.
73	430	2455591.70379	0.00092	3	Dvorak S.
74	431	2455594.3249	0.00137	3	Labrevoir O.
75	433	2455599.55268	0.00045	2	Poddaný S.
76	449	2455641.40453	0.00052	2	Hentunen V.
77	449	2455641.4048	0.00069	3	Sauer T.
78	449	2455641.40685	0.0008	3	Leonard Kornoš, Peter Vereš, Jozef Világi
79	454	2455654.48819	0.00114	3	Michelet J.
81	469	2455693.72524	0.00123	3	Shadic S.
82	524	2455837.59572	0.00094	3	Zibar M.
83	524	2455837.59626	0.00103	3	Moudrá M.
85	560	2455931.76515	0.0004	2	Dax T.
86	561	2455934.37931	0.00144	3	Gaitan J.
87	566	2455947.45917	0.00077	3	Garcia R.
88	571	2455960.53964	0.00058	3	Emering F.
89	573	2455965.77275	0.001	3	Shadic S.
91	576	2455973.61979	0.00106	3	Shadic S.
92	580	2455984.07814	0.02104	2	Bingkun Yu
93	581	2455986.69824	0.00088	3	Shadic S.
94	586	2455999.77921	0.00112	3	Shadic S.
96	587	2456002.39411	0.00099	3	Carre&#241
97	587	2456002.40033	0.00121	3	Zibar M.
98	594	2456020.70525	0.00077	3	Shadic S.
100	675	2456232.59135	0.00165	3	Horta F. G.
101	691	2456274.44219	0.00143	3	Gudmundsson S.
102	699	2456295.36568	0.00102	3	Gaitan J.
104	699	2456295.37059	0.00116	3	Ferran Grau Horta
106	699	2456295.37288	0.00116	3	Faustino Garcia
107	701	2456300.604	0.00111	3	Horta F. G.
108	704	2456308.44544	0.00122	3	Naves R.
109	704	2456308.44624	0.00063	1	Schteinman G. M.
110	725	2456363.38382	0.00056	2	Michelet J.
113	794	2456543.88048	0.00155	3	Harris B.
114	820	2456611.88777	0.00045	2	Kehusmaa P., Harlingten C.
115	824	2456622.35189	0.00055	2	Hentunen V. P.
116	834	2456648.51015	0.00101	3	Naves R.
117	842	2456669.43806	0.00058	2	Salisbury M.
118	863	2456724.37278	0.00089	3	Horta F. G.
119	868	2456737.44588	0.00194	3	Mravik J., Grnja J.
120	868	2456737.45058	0.00066	2	Dittler U.
121	993	2457064.43169	0.00081	3	Francesco Scaggiante, Danilo Zardin
122	1014	2457119.36588	0.00091	3	Marc Bretton
123	1019	2457132.43862	0.00087	3	Jaroslav Trnka
124	1019	2457132.44522	0.00076	3	Martin Zíbar
125	1113	2457378.33308	0.00123	3	JOSEP GAITAN
126	1123	2457404.49238	0.00078	3	Francesco Scaggiante, Danilo Zardin
127	1136	2457438.50112	0.00069	2	David Molina
128	1144	2457459.42727	0.00063	2	Marc Bretton
129	1157	2457493.43322	0.00059	2	Marc Bretton
130	1157	2457493.43344	0.00056	2	Marc Bretton
131	1227	2457676.54703	0.00067	1	Juan Lozano de Haro
132	1256	2457752.40548	0.0007	3	Trnka J.
133	1259	2457760.25171	0.00025	1	Wonseok Kang
134	1274	2457799.48854	0.00069	3	Trnka J.
135	1282	2457820.41434	0.00077	2	Marc Bretton
136	1283	2457823.03222	0.00036	1	Wonseok Kang
137	1290	2457841.34254	0.0005	2	ARAR Ravenna - Moretti Ballardini Maitan Tomaselli Graziani
138	1290	2457841.34287	0.00068	3	Francesco Scaggiante, Danilo Zardin
139	1399	2458126.47297	0.00076	3	Derek OKeeffe
140	1409	2458152.62997	0.00171	3	Pere Guerra
141	1415	2458168.32582	0.00063	2	Manfred Raetz
142	1427	2458199.71532	0.00059	2	Stan Shadick
143	1433	2458215.41076	0.00035	1	Marc Bretton
144	1433	2458215.41081	0.00117	3	F. Lomoz
145	1433	2458215.41386	0.00076	3	Yves Jongen
146	1537	2458487.46413	0.00076	3	Yves Jongen
147	1540	2458495.30163	0.00123	3	Anael Wunsche
148	1545	2458508.38546	0.00118	3	Yves Jongen
149	1545	2458508.38771	0.00073	3	JOSEP GAITAN
150	1553	2458529.31404	0.00051	1	Yves Jongen
151	1553	2458529.31431	0.00057	2	Manfred Raetz
152	1555	2458534.54729	0.00149	3	Anael Wunsche
153	1555	2458534.55485	0.00217	3	Jean plazas
154	1565	2458560.7039	0.00054	2	Joe Garlitz
155	1576	2458589.47828	0.00106	3	Arndt Latusseck
156	1576	2458589.47953	0.00116	3	Manfred Raetz
157	1584	2458610.40929	0.00084	3	Yves Jongen
158	1680	2458861.52777	0.00066	2	Yves Jongen
159	1680	2458861.52931	0.00104	3	Mauro Calo
160	1683	2458869.37743	0.00096	2	Manfred Raetz
161	1690	2458887.68609	0.00043	2	F. Abulencia / J. McGrath
162	1690	2458887.68609	0.00043	2	F. Abulencia / J. McGrath
163	1696	2458903.3825	0.00048	2	Yves Jongen
164	1701	2458916.43117	0.00143	3	Martinelli Fabio, Bachini Mauro 
165	1701	2458916.43117	0.00143	3	Martinelli Fabio, Bachini Mauro 
166	1701	2458916.43117	0.00143	3	Martinelli Fabio, Bachini Mauro 
167	1704	2458924.31113	0.00938	3	Nosáľ P.
169	1709	2458937.3851	0.00168	3	Nosáľ P.
170	1709	2458937.38864	0.00038	1	Manfred Raetz
171	1709	2458937.38904	0.00049	2	Anaël Wünsche
172	1714	2458950.46688	0.00056	2	Manfred Raetz
173	1714	2458950.46818	0.00097	3	Yves Jongen
174	1821	2459230.36246	0.00089	3	Fran Campos
175	1847	2459298.37544	0.00057	3	Francesco Scaggiante, Danilo Zardin,Marco Fiaschi
176	1847	2459298.37648	0.00055	2	Nello Ruocco
177	1847	2459298.37699	0.00057	2	Anaël Wünsche
178	1847	2459298.37794	0.00036	1	Manfred Raetz
